TICKER,TICKER_NM,TICKER_TYPE,TICKER_STAT
004150,한솔홀딩스,0,정상
004170,신세계,0,정상
004250,NPC,0,정상
004255,NPC우,0,정상
004270,남성,0,정상
004310,현대약품,0,정상
004360,세방,0,정상
004365,세방우,0,정상
004370,농심,0,정상
004380,삼익THK,0,정상
004410,서울식품,0,정상
004415,서울식품우,0,정상
004430,송원산업,0,정상
004440,삼일씨엔에스,0,정상
004450,삼화왕관,0,정상
004490,세방전지,0,정상
004540,깨끗한나라,0,정상
004545,깨끗한나라우,0,정상
004560,현대비앤지스틸,0,정상
004565,현대비앤지스틸우,0,정상
004690,삼천리,0,정상
004700,조광피혁,0,정상
004710,한솔테크닉스,0,정상
004720,팜젠사이언스,0,정상
004770,써니전자,0,정상
004800,효성,0,정상
004830,덕성,0,정상
004835,덕성우,0,정상
004840,DRB동일,0,정상
004870,티웨이홀딩스,0,정상
004890,동일산업,0,정상
004910,조광페인트,0,정상
004920,씨아이테크,0,정상
004960,한신공영,0,정상
004970,신라교역,0,정상
004980,성신양회,0,정상
004985,성신양회우,0,정상
004990,롯데지주,0,정상
00499K,롯데지주우,0,정상
005010,휴스틸,0,정상
005030,부산주공,0,정상
005070,코스모신소재,0,정상
005090,SGC에너지,0,정상
005110,한창,0,정상
005180,빙그레,0,정상
005250,녹십자홀딩스,0,정상
005257,녹십자홀딩스2우,0,정상
005300,롯데칠성,0,정상
005305,롯데칠성우,0,정상
005320,국동,0,정상
005360,모나미,0,정상
005380,현대차,0,정상
005385,현대차우,0,정상
005387,현대차2우B,0,정상
005389,현대차3우B,0,정상
005390,신성통상,0,정상
005420,코스모화학,0,투자경고
005430,한국공항,0,정상
005440,현대그린푸드,0,정상
005490,POSCO홀딩스,0,정상
005500,삼진제약,0,정상
005610,SPC삼립,0,정상
005680,삼영전자,0,정상
005690,파미셀,0,정상
005720,넥센,0,정상
005725,넥센우,0,정상
005740,크라운해태홀딩스,0,정상
005745,크라운해태홀딩스우,0,정상
005750,대림B&Co,0,정상
005800,신영와코루,0,정상
005810,풍산홀딩스,0,정상
005820,원림,0,정상
005830,DB손해보험,0,정상
005850,에스엘,0,정상
005870,휴니드,0,정상
005880,대한해운,0,정상
005930,삼성전자,0,정상
005935,삼성전자우,0,정상
005940,NH투자증권,0,정상
005945,NH투자증권우,0,정상
005950,이수화학,0,투자경고
005960,동부건설,0,정상
005965,동부건설우,0,정상
006040,동원산업,0,정상
006060,화승인더,0,정상
006090,사조오양,0,정상
006110,삼아알미늄,0,투자주의
006120,SK디스커버리,0,정상
006125,SK디스커버리우,0,정상
006200,한국전자홀딩스,0,정상
006220,제주은행,0,정상
006260,LS,0,정상
006280,녹십자,0,정상
006340,대원전선,0,정상
006345,대원전선우,0,정상
006360,GS건설,0,정상
006370,대구백화점,0,정상
006380,카프로,0,정상
006390,한일현대시멘트,0,정상
006400,삼성SDI,0,정상
006405,삼성SDI우,0,정상
006490,인스코비,0,정상
006570,대림통상,0,정상
